,NPA,year,hispanic_latino_moe,asian_population_moe,age_of_residents_moe,youth_population,black_population_moe,white_population_moe,all_other_races,white_population,youth_population_moe,all_other_races_moe,hispanic_latino,vacant_land_area,age_of_residents,black_population,asian_population,vacant_land,older_adult_population,area,population_density,population,older_adult_population_moe
0,2,2015,,,,,,,,,,,,17.66,,,,4.3,,411.0,5.0,2216.0,
1,2,2013,,,,,,,,,,,,18.0,,,,4.3,,411.0,5.0,2167.0,
2,2,2018,,,,,,,,,,,,18.0,,,,4.3,,,5.0,2243.0,
3,2,2017,10.0,1.0,,18.0,10.0,14.0,3.0,54.0,6.0,5.0,15.0,18.0,33.0,28.0,1.0,4.3,6.0,,5.0,2241.0,2.0
4,2,2016,,,,,,,,,,,,18.0,,,,4.3,,,5.0,2240.0,
5,2,2011,,,,,,,,,,,,18.0,,,,4.3,,,,,
6,3,2015,,,,,,,,,,,,29.05,,,,2.5,,1156.0,7.0,7938.0,
7,3,2013,,,,,,,,,,,,33.0,,,,2.8,,1156.0,7.0,7810.0,
8,3,2018,,,,,,,,,,,,27.0,,,,2.4,,,8.0,9758.0,
9,3,2017,1.0,2.0,,14.0,2.0,4.0,4.0,84.0,3.0,3.0,2.0,27.0,36.0,7.0,3.0,2.4,9.0,,8.0,8816.0,2.0
10,3,2016,,,,,,,,,,,,27.0,,,,2.4,,,7.0,7986.0,
11,3,2011,,,,,,,,,,,,36.0,,,,3.2,,,,,
12,4,2015,,,,,,,,,,,,16.65,,,,5.1,,329.0,3.0,1078.0,
13,4,2013,,,,,,,,,,,,17.0,,,,5.1,,329.0,3.0,1065.0,
14,4,2018,,,,,,,,,,,,14.0,,,,4.3,,,3.0,1120.0,
15,4,2017,1.0,6.0,7.0,26.0,1.0,7.0,0.0,95.0,7.0,5.0,0.0,14.0,48.0,0.0,5.0,4.3,19.0,,3.0,1089.0,5.0
16,4,2016,,,,,,,,,,,,14.0,,,,4.3,,,3.0,1080.0,
17,4,2011,,,,,,,,,,,,17.0,,,,5.1,,,,,
18,5,2015,,,,,,,,,,,,35.72,,,,21.4,,167.0,4.0,745.0,
19,5,2013,,,,,,,,,,,,36.0,,,,21.4,,167.0,5.0,763.0,
20,5,2018,,,,,,,,,,,,36.0,,,,21.4,,,5.0,772.0,
21,5,2017,2.0,2.0,11.0,38.0,14.0,5.0,0.0,7.0,10.0,6.0,0.0,36.0,30.0,92.0,2.0,21.4,6.0,,5.0,790.0,6.0
22,5,2016,,,,,,,,,,,,36.0,,,,21.4,,,5.0,790.0,
23,5,2011,,,,,,,,,,,,36.0,,,,21.4,,,,,
24,6,2015,,,,,,,,,,,,31.0,,,,7.7,,403.0,4.0,1724.0,
25,6,2013,,,,,,,,,,,,31.0,,,,7.7,,403.0,4.0,1775.0,
26,6,2018,,,,,,,,,,,,31.0,,,,7.7,,,5.0,1839.0,
27,6,2017,4.0,1.0,,20.0,16.0,8.0,1.0,17.0,6.0,5.0,4.0,31.0,44.0,77.0,1.0,7.7,9.0,,5.0,1871.0,4.0
28,6,2016,,,,,,,,,,,,31.0,,,,7.7,,,5.0,1853.0,
29,6,2011,,,,,,,,,,,,31.0,,,,7.7,,,,,
30,7,2015,,,,,,,,,,,,12.06,,,,2.2,,548.0,2.0,1310.0,
31,7,2013,,,,,,,,,,,,12.0,,,,2.2,,548.0,2.0,1293.0,
32,7,2018,,,,,,,,,,,,10.0,,,,1.8,,,2.0,1330.0,
33,7,2017,4.0,1.0,3.0,32.0,1.0,5.0,0.0,97.0,7.0,4.0,3.0,10.0,47.0,0.0,0.0,1.8,11.0,,2.0,1325.0,4.0
34,7,2016,,,,,,,,,,,,10.0,,,,1.8,,,2.0,1308.0,
35,7,2011,,,,,,,,,,,,13.0,,,,2.3,,,,,
36,8,2015,,,,,,,,,,,,13.88,,,,2.3,,597.0,3.0,1850.0,
37,8,2013,,,,,,,,,,,,14.0,,,,2.3,,597.0,3.0,1515.0,
38,8,2018,,,,,,,,,,,,12.0,,,,2.0,,,3.0,1926.0,
39,8,2017,11.0,10.0,9.0,15.0,4.0,13.0,0.0,78.0,6.0,3.0,5.0,12.0,36.0,8.0,9.0,2.0,21.0,,3.0,1846.0,7.0
40,8,2016,,,,,,,,,,,,12.0,,,,2.0,,,3.0,1858.0,
41,8,2011,,,,,,,,,,,,14.0,,,,2.4,,,,,
42,9,2015,,,,,,,,,,,,2.97,,,,3.2,,94.0,6.0,607.0,
43,9,2013,,,,,,,,,,,,3.0,,,,3.2,,94.0,6.0,583.0,
44,9,2018,,,,,,,,,,,,3.0,,,,3.2,,,7.0,622.0,
45,9,2017,9.0,9.0,6.0,12.0,4.0,13.0,1.0,77.0,7.0,8.0,9.0,3.0,28.0,8.0,5.0,3.2,8.0,,6.0,602.0,6.0
46,9,2016,,,,,,,,,,,,3.0,,,,3.2,,,7.0,620.0,
47,9,2011,,,,,,,,,,,,3.0,,,,3.2,,,,,
48,10,2015,,,,,,,,,,,,16.19,,,,2.9,,551.0,7.0,3735.0,
49,10,2013,,,,,,,,,,,,16.0,,,,2.9,,551.0,6.0,3561.0,
50,10,2018,,,,,,,,,,,,16.0,,,,2.9,,,7.0,3814.0,
51,10,2017,5.0,2.0,,13.0,10.0,5.0,5.0,39.0,4.0,5.0,9.0,16.0,39.0,44.0,4.0,2.9,16.0,,7.0,3788.0,4.0
52,10,2016,,,,,,,,,,,,16.0,,,,2.9,,,7.0,3785.0,
53,10,2011,,,,,,,,,,,,16.0,,,,2.9,,,,,
54,11,2015,,,,,,,,,,,,19.19,,,,3.8,,510.0,5.0,2623.0,
55,11,2013,,,,,,,,,,,,19.0,,,,3.8,,510.0,5.0,2563.0,
56,11,2018,,,,,,,,,,,,19.0,,,,3.8,,,5.0,2695.0,
57,11,2017,2.0,1.0,,25.0,1.0,4.0,2.0,96.0,6.0,4.0,1.0,19.0,35.0,1.0,0.0,3.8,8.0,,5.0,2651.0,3.0
58,11,2016,,,,,,,,,,,,19.0,,,,3.8,,,5.0,2642.0,
59,11,2011,,,,,,,,,,,,19.0,,,,3.8,,,,,
60,12,2015,,,,,,,,,,,,1.89,,,,1.2,,159.0,17.0,2677.0,
61,12,2013,,,,,,,,,,,,2.0,,,,1.2,,159.0,17.0,2636.0,
62,12,2018,,,,,,,,,,,,2.0,,,,1.2,,,17.0,2739.0,
63,12,2017,11.0,7.0,,34.0,10.0,3.0,4.0,13.0,3.0,5.0,37.0,2.0,74.0,40.0,6.0,1.2,4.0,,17.0,2731.0,2.0
64,12,2016,,,,,,,,,,,,2.0,,,,1.2,,,17.0,2723.0,
65,12,2011,,,,,,,,,,,,2.0,,,,1.2,,,,,
66,13,2015,,,,,,,,,,,,5.93,,,,1.3,,457.0,8.0,3583.0,
67,13,2013,,,,,,,,,,,,6.0,,,,1.3,,457.0,8.0,3551.0,
68,13,2018,,,,,,,,,,,,6.0,,,,1.3,,,8.0,3559.0,
69,13,2017,11.0,10.0,,14.0,9.0,1.0,2.0,47.0,5.0,4.0,23.0,6.0,35.0,18.0,10.0,1.3,10.0,,8.0,3599.0,4.0
