,NPA,year,commercial_size,fincancial_services_proximity,financial_services_proximate_units,job_density,commercial_construction,household_income,employment_rate,employment_rate_moe,household_income_moe,commercial_building_age,commercial_construction_permitted_units,jobs,commercial_size_total,public_nutrition_assistance
0,2,2017,12942.0,21.0,225.0,,1.95,45776.0,93.0,24.0,,51.0,8,,478854.0,14.0
1,2,2018,12942.0,23.0,248.0,,3.17,,,,,52.0,13,,478848.0,12.0
2,2,2016,12942.0,21.0,224.0,,4.38,,,,,50.0,18,,478848.0,17.73
3,2,2015,12670.0,21.0,224.0,2.8,12.16,,,,,51.0,50,1151.0,456137.0,16.7
4,2,2013,13630.0,,,2.8,2.19,,,,,49.0,9,1165.0,545219.0,22.71
5,2,2011,13336.0,,,2.1,1.22,,,,,47.0,5,864.0,546788.0,25.75
6,2,2014,,21.0,223.0,2.5,2.67,,,,,,11,1045.0,,
7,2,2012,,,,2.9,1.7,,,,,,7,1172.0,,
8,3,2017,31505.0,100.0,5277.0,,14.27,97294.0,99.0,1.0,,64.0,165,,11499325.0,3.0
9,3,2018,32379.0,100.0,5914.0,,12.46,,,,,64.0,144,,11850617.0,2.0
10,3,2016,30514.0,99.0,4699.0,,12.28,,,,,63.0,142,,11259845.0,4.61
11,3,2015,28152.0,99.0,4725.0,27.9,8.56,,,,,63.0,99,32237.0,10500735.0,4.18
12,3,2013,27466.0,,,29.3,12.11,,,,,62.0,140,33915.0,10382242.0,3.89
13,3,2011,24289.0,,,25.2,13.76,,,,,60.0,159,29102.0,9569708.0,5.74
14,3,2014,,99.0,4717.0,29.2,14.36,,,,,,166,33769.0,,
15,3,2012,,,,27.0,16.52,,,,,,191,31177.0,,
16,4,2017,4398.0,15.0,62.0,,0.3,156250.0,100.0,0.0,52580.0,34.0,1,,4398.0,0.0
17,4,2018,4398.0,13.0,56.0,,0.61,,,,,35.0,2,,4398.0,0.0
18,4,2016,4398.0,17.0,67.0,,0.91,,,,,33.0,3,,4398.0,0.37
19,4,2015,4398.0,17.0,67.0,0.1,0.0,,,,,32.0,0,41.0,4398.0,0.37
20,4,2013,4398.0,,,0.2,0.3,,,,,30.0,1,70.0,4398.0,0.66
21,4,2011,4398.0,,,0.2,0.3,,,,,28.0,1,55.0,4398.0,0.6
22,4,2014,,17.0,67.0,0.2,0.3,,,,,,1,54.0,,
23,4,2012,,,,0.2,0.0,,,,,,0,65.0,,
24,5,2017,27487.0,14.0,44.0,,6.58,22589.0,75.0,38.0,7914.0,52.0,11,,357331.0,56.0
25,5,2018,27485.0,36.0,116.0,,1.79,,,,,53.0,3,,357301.0,53.0
26,5,2016,32212.0,13.0,44.0,,14.96,,,,,53.0,25,,483185.0,54.57
27,5,2015,28777.0,13.0,44.0,0.8,6.58,,,,,55.0,11,139.0,489205.0,55.82
28,5,2013,28847.0,,,0.8,0.6,,,,,53.0,1,130.0,490401.0,54.26
29,5,2011,27561.0,,,0.9,11.97,,,,,52.0,20,152.0,496101.0,61.03
30,5,2014,,13.0,43.0,0.8,2.39,,,,,,4,129.0,,
31,5,2012,,,,0.8,0.0,,,,,,0,127.0,,
32,6,2017,11734.0,61.0,498.0,,3.22,27381.0,85.0,28.0,,52.0,13,,809646.0,43.0
33,6,2018,11927.0,62.0,499.0,,2.73,,,,,53.0,11,,811036.0,39.0
34,6,2016,11734.0,61.0,501.0,,0.99,,,,,51.0,4,,809666.0,52.83
35,6,2015,11740.0,61.0,500.0,2.0,1.49,,,,,50.0,6,806.0,810086.0,54.28
36,6,2013,11716.0,,,1.9,1.74,,,,,47.0,7,753.0,808387.0,45.69
37,6,2011,11596.0,,,1.7,0.99,,,,,47.0,4,673.0,811695.0,54.03
38,6,2014,,61.0,503.0,2.2,2.48,,,,,,10,903.0,,
39,6,2012,,,,1.7,1.49,,,,,,6,705.0,,
40,7,2017,46749.0,58.0,248.0,,8.03,243125.0,98.0,5.0,70642.0,26.0,44,,1542717.0,0.0
41,7,2018,50729.0,68.0,292.0,,5.48,,,,,26.0,30,,1724784.0,0.0
42,7,2016,46749.0,56.0,241.0,,5.48,,,,,25.0,30,,1542726.0,0.15
43,7,2015,49318.0,56.0,240.0,6.6,6.02,,,,,24.0,33,3633.0,1726120.0,0.15
44,7,2013,45219.0,,,7.4,3.83,,,,,22.0,21,4082.0,1582653.0,0.15
45,7,2011,45222.0,,,7.5,4.93,,,,,20.0,27,4093.0,1582777.0,0.08
46,7,2014,,56.0,237.0,7.6,8.21,,,,,,45,4165.0,,
47,7,2012,,,,6.8,5.29,,,,,,29,3743.0,,
48,8,2017,11871.0,44.0,453.0,,0.34,58516.0,96.0,7.0,29634.0,35.0,2,,71226.0,6.0
49,8,2018,12398.0,42.0,451.0,,0.67,,,,,33.0,4,,74387.0,1.0
50,8,2016,11871.0,48.0,495.0,,0.17,,,,,34.0,1,,71228.0,8.07
51,8,2015,10627.0,48.0,493.0,1.0,0.5,,,,,33.0,3,609.0,74387.0,7.24
52,8,2013,10627.0,,,1.1,0.5,,,,,31.0,3,647.0,74387.0,3.89
53,8,2011,10927.0,,,0.9,0.34,,,,,33.0,2,560.0,76488.0,8.06
54,8,2014,,47.0,486.0,1.1,0.67,,,,,,4,683.0,,
55,8,2012,,,,1.3,2.68,,,,,,16,803.0,,
56,9,2017,2047.0,11.0,33.0,,1.07,64107.0,95.0,9.0,32918.0,69.0,1,,36846.0,9.0
57,9,2018,2047.0,15.0,46.0,,0.0,,,,,70.0,0,,36838.0,11.0
58,9,2016,2507.0,11.0,33.0,,3.21,,,,,67.0,3,,47627.0,9.19
59,9,2015,2614.0,11.0,33.0,0.5,0.0,,,,,66.0,0,42.0,49675.0,9.23
60,9,2013,2614.0,,,1.3,1.07,,,,,64.0,1,126.0,49675.0,14.06
61,9,2011,2614.0,,,0.7,2.14,,,,,62.0,2,63.0,49675.0,16.36
62,9,2014,,11.0,33.0,0.4,0.0,,,,,,0,40.0,,
63,9,2012,,,,1.1,4.28,,,,,,4,101.0,,
64,10,2017,6572.0,59.0,935.0,,0.73,30357.0,95.0,3.0,,49.0,4,,400892.0,27.0
65,10,2018,6569.0,63.0,1001.0,,1.81,,,,,49.0,10,,400693.0,26.0
66,10,2016,6531.0,64.0,1011.0,,1.81,,,,,48.0,10,,404899.0,32.76
67,10,2015,6509.0,63.0,1010.0,1.2,1.09,,,,,47.0,6,647.0,403549.0,31.97
68,10,2013,6530.0,,,1.1,1.09,,,,,45.0,6,613.0,404865.0,36.53
69,10,2011,6396.0,,,0.8,0.36,,,,,43.0,2,434.0,402957.0,36.04
70,10,2014,,65.0,1031.0,1.1,1.09,,,,,,6,600.0,,
71,10,2012,,,,1.0,2.0,,,,,,11,566.0,,
72,11,2017,12810.0,44.0,543.0,,3.53,114728.0,98.0,4.0,,63.0,18,,499590.0,1.0
73,11,2018,13009.0,46.0,571.0,,2.74,,,,,64.0,14,,507339.0,1.0
74,11,2016,12718.0,44.0,540.0,,6.47,,,,,62.0,33,,496008.0,1.17
75,11,2015,13507.0,44.0,538.0,3.1,4.51,,,,,61.0,23,1589.0,526792.0,1.18
