,NPA,year,schoolage_proximate_units,high_school_diploma,library_card_prevalence,bachelors_degree_moe,library_card_holders,neighborhood_school_attendance,highschool_graduation_rate,high_school_diploma_moe,early_care_proximity,proficiency_elementary_school,proficiency_middle_school,schoolage_proximity,bachelors_degree,early_care_proximate_units,proficiency_high_school,student_absenteeism
0,2,2017,1078.0,90.0,,5.0,,50.0,90.0,21.0,61.0,55.9,37.8,100.0,38.0,663.0,50.0,12.0
1,2,2015,1078.0,,20.0,,443.0,47.5,83.0,,61.0,34.1463414634146,41.67,100.0,,662.0,,11.5151515151515
2,2,2013,1080.0,,16.0,,354.0,49.34,61.0,,61.0,,,100.0,,664.0,,8.81057268722467
3,2,2011,1081.0,,,,,45.54,,,100.0,,,100.0,,1082.0,,
4,2,2016,,,,,,46.1,86.0,,,37.5,28.2,,,,55.6,15.0
5,2,2014,,,,,,48.96,75.0,,,39.473684210526315,45.83333333333333,,,,63.63636363636363,11.5
6,3,2017,3848.0,96.0,,4.0,,82.0,95.0,4.0,78.0,86.1,82.3,73.0,79.0,4109.0,68.2,5.0
7,3,2015,3316.0,,17.0,,1338.0,76.84,100.0,,70.0,84.2105263157895,79.52,70.0,,3317.0,65.0,5.72139303482587
8,3,2013,3622.0,,14.0,,1064.0,76.39,88.0,,70.0,,,76.0,,3306.0,,5.555555555555555
9,3,2011,3343.0,,,,,69.9,,,80.0,,,75.0,,3559.0,,
10,3,2016,,,,,,79.6,100.0,,,87.31,85.0,,,,62.5,6.0
11,3,2014,,,,,,74.94,91.0,,,86.36363636363636,77.94117647058823,,,,66.66666666666666,5.673758865248227
12,4,2017,169.0,100.0,,15.0,,85.0,92.0,14.0,40.0,96.6,81.8,41.0,87.0,163.0,,4.0
13,4,2015,173.0,,19.0,,209.0,81.82,100.0,,41.0,86.3636363636364,82.86,43.0,,167.0,83.33,0.909090909090909
14,4,2013,162.0,,16.0,,170.0,86.18,100.0,,39.0,,,40.0,,156.0,,2.4390243902439024
15,4,2011,162.0,,,,,84.11,,,44.0,,,40.0,,175.0,,
16,4,2016,,,,,,79.5,100.0,,,96.15,85.7,,,,66.7,2.0
17,4,2014,,,,,,86.11,100.0,,,82.6086956521739,86.20689655172413,,,,,3.7037037037037033
18,5,2017,319.0,89.0,,4.0,,64.0,77.0,12.0,99.0,31.4,24.3,99.0,2.0,319.0,,24.0
19,5,2015,331.0,,19.0,,141.0,69.23,100.0,,100.0,16.6666666666667,6.67,100.0,,331.0,16.67,23.5294117647059
20,5,2013,329.0,,9.0,,72.0,74.68,80.0,,100.0,,,100.0,,329.0,,22.151898734177212
21,5,2011,332.0,,,,,69.7,,,100.0,,,100.0,,332.0,,
22,5,2016,,,,,,70.0,80.0,,,20.0,17.7,,,,50.0,17.0
23,5,2014,,,,,,73.17,50.0,,,16.666666666666664,12.903225806451612,,,,11.11111111111111,21.428571428571427
24,6,2017,814.0,64.0,,4.0,,61.0,88.0,1.0,100.0,28.8,22.6,100.0,7.0,814.0,31.3,20.0
25,6,2015,817.0,,18.0,,311.0,65.94,61.0,,100.0,17.741935483871,20.75,100.0,,817.0,20.0,19.5219123505976
26,6,2013,820.0,,12.0,,210.0,74.1,56.0,,100.0,,,100.0,,820.0,,15.737704918032788
27,6,2011,825.0,,,,,66.56,,,100.0,,,100.0,,825.0,,
28,6,2016,,,,,,67.4,72.0,,,21.52,20.3,,,,28.6,21.0
29,6,2014,,,,,,65.33,62.0,,,25.0,17.857142857142858,,,,25.0,20.74829931972789
30,7,2017,367.0,100.0,,4.0,,99.0,100.0,4.0,0.0,,94.4,85.0,88.0,0.0,,1.0
31,7,2015,360.0,,15.0,,196.0,97.18,100.0,,0.0,94.4444444444444,100.0,85.0,,0.0,,1.40845070422535
32,7,2013,357.0,,11.0,,147.0,97.75,83.0,,0.0,,,84.0,,0.0,,1.1235955056179776
33,7,2011,355.0,,,,,97.73,,,27.0,,,85.0,,113.0,,
34,7,2016,,,,,,97.3,,,,90.91,100.0,,,,,1.0
35,7,2014,,,,,,97.67,100.0,,,90.0,100.0,,,,,4.651162790697675
36,8,2017,208.0,95.0,,14.0,,41.0,,13.0,21.0,81.3,76.2,20.0,60.0,215.0,,11.0
37,8,2015,208.0,,14.0,,260.0,38.1,,,20.0,79.3103448275862,83.33,20.0,,208.0,,9.09090909090909
38,8,2013,206.0,,15.0,,229.0,37.5,,,20.0,,,20.0,,208.0,,4.166666666666666
39,8,2011,199.0,,,,,31.08,,,48.0,,,22.0,,431.0,,
40,8,2016,,,,,,32.9,,,,74.07,70.6,,,,,8.0
41,8,2014,,,,,,33.33,,,,81.81818181818183,71.42857142857143,,,,,10.76923076923077
42,9,2017,294.0,86.0,,11.0,,18.0,,11.0,100.0,,,100.0,45.0,294.0,,11.0
43,9,2015,302.0,,17.0,,106.0,30.43,,,100.0,40.0,28.57,100.0,,302.0,,20.6896551724138
44,9,2013,305.0,,15.0,,87.0,27.91,,,100.0,,,100.0,,305.0,,9.30232558139535
45,9,2011,305.0,,,,,35.29,,,100.0,,,100.0,,305.0,,
46,9,2016,,,,,,32.6,,,,40.0,25.0,,,,,4.0
47,9,2014,,,,,,13.64,,,,60.0,16.666666666666664,,,,,12.0
48,10,2017,1586.0,76.0,,6.0,,71.0,88.0,7.0,100.0,34.3,20.3,100.0,24.0,1586.0,18.8,15.0
49,10,2015,1592.0,,17.0,,624.0,70.77,61.0,,100.0,24.1758241758242,30.77,100.0,,1592.0,22.22,19.3083573487032
50,10,2013,1595.0,,13.0,,454.0,76.73,59.0,,100.0,,,100.0,,1595.0,,13.017751479289942
51,10,2011,1599.0,,,,,53.24,,,100.0,,,100.0,,1599.0,,
52,10,2016,,,,,,66.4,71.0,,,31.31,27.3,,,,33.3,17.0
53,10,2014,,,,,,70.8,56.0,,,26.041666666666668,29.78723404255319,,,,6.666666666666667,20.506329113924053
54,11,2017,1014.0,99.0,,9.0,,70.0,100.0,8.0,82.0,89.9,85.5,82.0,80.0,1011.0,,3.0
55,11,2015,1009.0,,20.0,,534.0,69.81,100.0,,82.0,88.0434782608696,95.74,82.0,,1006.0,85.71,1.8796992481203
56,11,2013,998.0,,16.0,,400.0,75.0,100.0,,82.0,,,82.0,,994.0,,3.5211267605633805
57,11,2011,993.0,,,,,72.22,,,89.0,,,82.0,,1071.0,,
58,11,2016,,,,,,72.9,100.0,,,88.17,88.7,,,,92.9,3.0
59,11,2014,,,,,,69.9,100.0,,,87.14285714285714,82.45614035087719,,,,100.0,3.6544850498338874
60,12,2017,1257.0,77.0,,4.0,,84.0,86.0,19.0,100.0,22.7,19.3,100.0,22.0,1257.0,23.3,19.0
61,12,2015,1257.0,,16.0,,438.0,83.58,78.0,,100.0,23.6559139784946,22.77,100.0,,1257.0,50.0,19.5402298850575
62,12,2013,1257.0,,11.0,,292.0,82.23,52.0,,100.0,,,100.0,,1257.0,,12.072892938496583
63,12,2011,1257.0,,,,,68.32,,,100.0,,,100.0,,1257.0,,
64,12,2016,,,,,,77.5,78.0,,,22.73,21.3,,,,34.3,16.0
65,12,2014,,,,,,81.97,85.0,,,25.842696629213485,18.27956989247312,,,,25.0,17.381489841986454
66,13,2017,1831.0,95.0,,6.0,,67.0,83.0,23.0,84.0,32.9,30.4,100.0,35.0,1539.0,,12.0
67,13,2015,1827.0,,17.0,,621.0,69.64,60.0,,84.0,39.7260273972603,32.61,100.0,,1535.0,20.0,11.284046692607
68,13,2013,1810.0,,14.0,,488.0,64.61,50.0,,84.0,,,100.0,,1518.0,,7.792207792207792
69,13,2011,1812.0,,,,,68.83,,,92.0,,,100.0,,1665.0,,
70,13,2016,,,,,,65.2,77.0,,,40.0,24.2,,,,,14.0
71,13,2014,,,,,,63.06,64.0,,,46.96969696969697,30.0,,,,53.84615384615385,9.03010033444816
72,14,2017,1607.0,93.0,,8.0,,69.0,93.0,8.0,100.0,41.9,32.3,100.0,42.0,1609.0,40.0,12.0
73,14,2015,1595.0,,17.0,,661.0,76.46,97.0,,100.0,41.1214953271028,35.43,99.0,,1614.0,50.0,10.2880658436214
74,14,2013,1105.0,,12.0,,431.0,76.55,95.0,,81.0,,,68.0,,1315.0,,7.980456026058631
75,14,2011,1103.0,,,,,78.97,,,81.0,,,68.0,,1314.0,,
76,14,2016,,,,,,71.8,91.0,,,41.05,34.1,,,,67.9,9.0
77,14,2014,,,,,,76.28,97.0,,,43.29896907216495,39.25925925925926,,,,50.0,8.531746031746032
78,15,2017,475.0,89.0,,17.0,,60.0,100.0,27.0,56.0,79.6,64.7,56.0,56.0,471.0,62.5,8.0
79,15,2015,461.0,,20.0,,436.0,62.03,100.0,,55.0,64.8648648648649,62.79,55.0,,457.0,50.0,5.55555555555556
80,15,2013,4.0,,17.0,,352.0,55.84,80.0,,57.0,,,0.0,,474.0,,4.060913705583756
81,15,2011,3.0,,,,,47.78,,,77.0,,,0.0,,635.0,,
82,15,2016,,,,,,61.8,100.0,,,61.54,68.3,,,,42.9,11.0
83,15,2014,,,,,,57.96,91.0,,,72.22222222222221,62.16216216216216,,,,,5.590062111801243
84,16,2017,2106.0,87.0,,5.0,,72.0,93.0,4.0,100.0,46.7,33.1,100.0,28.0,2113.0,31.8,12.0
85,16,2015,1988.0,,22.0,,1030.0,76.16,75.0,,98.0,38.2165605095541,27.21,94.0,,2076.0,27.59,12.8125
86,16,2013,2105.0,,16.0,,750.0,73.73,70.0,,100.0,,,100.0,,2112.0,,9.028727770177838
87,16,2011,2112.0,,,,,64.71,,,100.0,,,100.0,,2119.0,,
88,16,2016,,,,,,75.3,94.0,,,40.2,27.3,,,,33.3,11.0
89,16,2014,,,,,,73.2,80.0,,,31.543624161073826,27.027027027027028,,,,24.324324324324326,12.427745664739884
90,17,2017,1253.0,84.0,,5.0,,72.0,78.0,6.0,100.0,33.6,22.7,100.0,22.0,1253.0,14.9,18.0
91,17,2015,1256.0,,17.0,,574.0,71.93,81.0,,100.0,36.2204724409449,19.83,100.0,,1256.0,37.93,11.6803278688525
92,17,2013,1256.0,,12.0,,409.0,75.66,78.0,,100.0,,,100.0,,1256.0,,11.423220973782772
93,17,2011,1256.0,,,,,67.24,,,100.0,,,100.0,,1256.0,,
94,17,2016,,,,,,71.3,91.0,,,32.84,24.3,,,,31.3,14.0
95,17,2014,,,,,,76.32,81.0,,,35.84905660377358,26.717557251908396,,,,30.0,11.602209944751381
96,18,2017,386.0,98.0,,22.0,,83.0,100.0,27.0,25.0,72.7,79.3,23.0,75.0,409.0,65.2,7.0
97,18,2015,554.0,,17.0,,570.0,83.73,89.0,,10.0,76.0,81.54,33.0,,172.0,50.0,3.27868852459016
98,18,2013,383.0,,15.0,,486.0,79.44,88.0,,10.0,,,23.0,,168.0,,6.2717770034843205
99,18,2011,377.0,,,,,81.86,,,39.0,,,24.0,,621.0,,
100,18,2016,,,,,,83.9,100.0,,,78.82,71.4,,,,63.6,5.0
101,18,2014,,,,,,81.29,91.0,,,76.62337662337663,75.92592592592592,,,,70.0,4.844290657439446
102,19,2017,1001.0,98.0,,6.0,,68.0,100.0,6.0,33.0,80.6,67.4,57.0,59.0,574.0,65.0,8.0
103,19,2015,1001.0,,18.0,,675.0,67.01,88.0,,33.0,75.3424657534247,76.06,57.0,,574.0,91.67,7.26072607260726
104,19,2013,1006.0,,17.0,,595.0,70.31,93.0,,39.0,,,57.0,,684.0,,5.322128851540616
105,19,2011,1005.0,,,,,67.83,,,39.0,,,57.0,,683.0,,
106,19,2016,,,,,,66.5,97.0,,,75.76,76.6,,,,57.9,5.0
107,19,2014,,,,,,64.0,87.0,,,72.0,73.75,,,,73.33333333333333,9.26517571884984
108,20,2017,502.0,95.0,,14.0,,92.0,100.0,13.0,22.0,69.1,67.0,35.0,62.0,314.0,66.7,3.0
109,20,2015,549.0,,22.0,,702.0,95.25,100.0,,43.0,65.7142857142857,61.9,38.0,,624.0,79.17,5.53846153846154
110,20,2013,956.0,,17.0,,541.0,93.95,100.0,,79.0,,,66.0,,1151.0,,6.744186046511628
111,20,2011,957.0,,,,,93.28,,,75.0,,,66.0,,1092.0,,
112,20,2016,,,,,,91.9,85.0,,,76.4,67.4,,,,79.2,6.0
113,20,2014,,,,,,93.98,96.0,,,69.44444444444444,65.47619047619048,,,,85.0,5.8495821727019495
114,21,2017,1219.0,77.0,,5.0,,72.0,92.0,7.0,100.0,37.1,34.6,100.0,11.0,1219.0,30.0,12.0
115,21,2015,1207.0,,25.0,,738.0,75.0,90.0,,100.0,39.6551724137931,31.43,99.0,,1219.0,46.67,7.38255033557047
116,21,2013,1215.0,,18.0,,510.0,79.1,55.0,,100.0,,,100.0,,1211.0,,7.421875
117,21,2011,1167.0,,,,,59.51,,,100.0,,,100.0,,1167.0,,
118,21,2016,,,,,,67.1,90.0,,,42.03,36.0,,,,30.0,13.0
119,21,2014,,,,,,77.75,57.0,,,39.44954128440367,23.232323232323232,,,,28.57142857142857,9.915611814345992
120,22,2017,639.0,86.0,,9.0,,58.0,,4.0,81.0,,23.1,92.0,35.0,565.0,,30.0
121,22,2015,490.0,,15.0,,141.0,67.57,,,84.0,44.4444444444444,8.33,98.0,,417.0,,16.2162162162162
122,22,2013,329.0,,12.0,,109.0,56.36,33.0,,87.0,,,90.0,,316.0,,7.2727272727272725
123,22,2011,432.0,,,,,69.64,,,90.0,,,93.0,,419.0,,
124,22,2016,,,,,,69.8,,,,37.5,54.6,,,,,14.0
125,22,2014,,,,,,65.31,,,,23.076923076923077,15.384615384615385,,,,,5.88235294117647
126,23,2017,378.0,82.0,,8.0,,84.0,79.0,21.0,66.0,22.8,13.0,69.0,15.0,364.0,,14.0
