,NPA,year,voters_participating,board_committee_participation,311_requests,neighborhood_organizations,voter_participation,311_calls,arts_participating_households,board_committee_participants,arts_participation
0,2,2013,,,33.4,,,723.0,157.0,,15.0
1,2,2016,1063.0,,31.6,,76.0,707.0,,,
2,2,2015,270.0,,32.0,2.0,23.0,708.0,,,
3,2,2018,811.0,0.0,,,66.0,,,0.0,
4,2,2017,383.0,0.0,,,24.0,,,0.0,
5,2,2014,603.0,,,2.0,54.0,,,,
6,2,2012,1029.0,,,,77.0,,,,
7,3,2013,,,29.5,,,2300.0,1599.0,,36.0
8,3,2016,5386.0,,26.1,,76.0,2087.0,,,
9,3,2015,1354.0,,24.8,7.0,24.0,1965.0,,,
10,3,2018,3991.0,2.0,,,67.0,,,17.0,
11,3,2017,1736.0,2.04,,,25.0,,,18.0,
12,3,2014,2787.0,,,7.0,53.0,,,,
13,3,2012,4425.0,,,,81.0,,,,
14,4,2013,,,28.1,,,299.0,211.0,,54.0
15,4,2016,695.0,,34.0,,86.0,367.0,,,
16,4,2015,306.0,,24.4,2.0,42.0,263.0,,,
17,4,2018,632.0,4.0,,,78.0,,,4.0,
18,4,2017,381.0,3.67,,,43.0,,,4.0,
19,4,2014,505.0,,,1.0,69.0,,,,
20,4,2012,687.0,,,,88.0,,,,
21,5,2013,,,57.4,,,438.0,1.0,,0.0
22,5,2016,247.0,,62.5,,51.0,494.0,,,
23,5,2015,20.0,,65.2,2.0,5.0,486.0,,,
24,5,2018,141.0,0.0,,,42.0,,,0.0,
25,5,2017,41.0,0.0,,,8.0,,,0.0,
26,5,2014,120.0,,,2.0,29.0,,,,
27,5,2012,269.0,,,,68.0,,,,
28,6,2013,,,72.5,,,1286.0,9.0,,1.0
29,6,2016,710.0,,69.7,,55.0,1291.0,,,
30,6,2015,107.0,,72.2,1.0,10.0,1245.0,,,
31,6,2018,452.0,0.0,,,47.0,,,0.0,
32,6,2017,158.0,0.0,,,11.0,,,0.0,
33,6,2014,380.0,,,1.0,35.0,,,,
34,6,2012,795.0,,,,68.0,,,,
35,7,2013,,,23.2,,,300.0,299.0,,72.0
36,7,2016,820.0,,22.7,,85.0,297.0,,,
37,7,2015,399.0,,18.4,1.0,43.0,241.0,,,
38,7,2018,694.0,2.0,,,74.0,,,3.0,
39,7,2017,424.0,3.02,,,41.0,,,4.0,
40,7,2014,611.0,,,1.0,68.0,,,,
41,7,2012,826.0,,,,87.0,,,,
42,8,2013,,,36.9,,,559.0,176.0,,21.0
43,8,2016,989.0,,27.5,,79.0,511.0,,,
44,8,2015,257.0,,28.1,4.0,26.0,519.0,,,
45,8,2018,691.0,0.0,,,73.0,,,0.0,
46,8,2017,363.0,0.54,,,32.0,,,1.0,
47,8,2014,583.0,,,3.0,58.0,,,,
48,8,2012,816.0,,,,80.0,,,,
49,9,2013,,,38.8,,,226.0,83.0,,30.0
50,9,2016,325.0,,40.2,,76.0,249.0,,,
51,9,2015,87.0,,34.3,0.0,26.0,208.0,,,
52,9,2018,280.0,2.0,,,72.0,,,1.0,
53,9,2017,138.0,0.0,,,27.0,,,0.0,
54,9,2014,175.0,,,0.0,56.0,,,,
55,9,2012,265.0,,,,77.0,,,,
56,10,2013,,,57.1,,,2033.0,105.0,,7.0
57,10,2016,1510.0,,48.7,,70.0,1842.0,,,
58,10,2015,286.0,,47.5,2.0,17.0,1774.0,,,
59,10,2018,1070.0,1.0,,,58.0,,,3.0,
60,10,2017,471.0,1.06,,,18.0,,,4.0,
61,10,2014,750.0,,,2.0,46.0,,,,
62,10,2012,1419.0,,,,69.0,,,,
63,11,2013,,,28.5,,,731.0,539.0,,46.0
64,11,2016,1649.0,,33.1,,88.0,875.0,,,
65,11,2015,539.0,,30.4,2.0,33.0,797.0,,,
66,11,2018,1457.0,1.0,,,77.0,,,4.0,
67,11,2017,821.0,1.89,,,39.0,,,5.0,
68,11,2014,1052.0,,,2.0,68.0,,,,
69,11,2012,1498.0,,,,88.0,,,,
70,12,2013,,,9.5,,,251.0,31.0,,3.0
71,12,2016,776.0,,11.6,,62.0,315.0,,,
72,12,2015,73.0,,10.9,0.0,8.0,291.0,,,
73,12,2018,437.0,0.0,,,45.0,,,0.0,
74,12,2017,102.0,0.0,,,7.0,,,0.0,
75,12,2014,304.0,,,0.0,34.0,,,,
76,12,2012,715.0,,,,71.0,,,,
77,13,2013,,,24.6,,,874.0,151.0,,9.0
78,13,2016,1267.0,,24.7,,72.0,888.0,,,
79,13,2015,222.0,,22.1,1.0,16.0,790.0,,,
80,13,2018,970.0,0.0,,,59.0,,,1.0,
81,13,2017,393.0,0.28,,,18.0,,,1.0,
82,13,2014,621.0,,,1.0,48.0,,,,
83,13,2012,1114.0,,,,77.0,,,,
84,14,2013,,,19.0,,,712.0,151.0,,10.0
85,14,2016,1502.0,,23.8,,71.0,901.0,,,
