,NPA,year,commuters_driving_alone,water_consumption_total,impervious_surface_area,electricity_consumption,adopt_a_street_length,recycling_participation,tree_canopy_area,solid_waste_diversion_rate,residential_canopy_area,electricity_consumption_total,impervious_surface,solid_waste,adopt_a_street,tree_canopy,natural_gas_consumption,commuters_driving_alone_moe,recycling_participating_units,adopt_a_stream_length,solid_waste_diverted,natural_gas_consumption_total,solid_waste_total,residential_tree_canopy,water_consumption,adopt_a_stream
0,2.0,2012,,,,991.0,,,230.9,,168.5,1250238.0,,,,56.2,,,,,,,,68.7,,
1,2.0,2018,,57785.0,92.0,,,,,,,,22.4,,,,,,,,,,,,118.0,
2,2.0,2017,76.0,,92.0,,3.71,,,,,,22.4,,28.18,,,15.0,,0.3,,,,,,15.79
3,2.0,2016,,56282.0,91.0,,,,,,,,22.2,,,,,,,1.93,,,,,113.0,100.0
4,2.0,2015,,,91.0,,,,,,,,22.1,,,,,,,0.32,,,,,,16.38
5,2.0,2013,,56389.0,95.0,1078.0,,55.7,,40.2,,1356368.0,23.1,7.2,,,43.0,,281.0,0.0,267.0,25932.0,3635.0,,118.0,0.0
6,2.0,2011,,,96.0,,,,,,,,y_2011,,,,,,,0.0,,,,,,0.0
7,2.0,2014,,55895.0,,,,,,,,,,,,,,,,,,,,,112.0,
8,3.0,2012,,,,973.0,,,485.2,,260.6,4028335.0,,,,42.0,,,,,,,,60.7,,
9,3.0,2018,,285554.0,448.0,,,,,,,,38.8,,,,,,,,,,,,163.0,
10,3.0,2017,85.0,,446.0,,31.13,,,,,,38.6,,52.24,,,8.0,,4.6,,,,,,100.0
11,3.0,2016,,308527.0,438.0,,,,,,,,37.9,,,,,,,4.6,,,,,176.0,100.0
12,3.0,2015,,,431.0,,,,,,,,37.3,,,,,,,4.23,,,,,,92.01
13,3.0,2013,,275334.0,427.0,1012.0,,42.6,,41.1,,4195164.0,36.9,6.8,,,49.0,,838.0,5.79,1001.0,106609.0,13363.0,,159.0,94.56
14,3.0,2011,,,427.0,,,,,,,,23.3,,,,,,,3.58,,,,,,58.4
15,3.0,2014,,290732.0,,,,,,,,,,,,,,,,,,,,,161.0,
16,4.0,2012,,,,1929.0,,,217.3,,178.5,732981.0,,,,66.0,,,,,,,,68.4,,
17,4.0,2018,,88791.0,69.0,,,,,,,,21,,,,,,,,,,,,248.0,
18,4.0,2017,93.0,,68.0,,1.01,,,,,,20.7,,8.78,,,21.0,,0.0,,,,,,0.0
19,4.0,2016,,95494.0,66.0,,,,,,,,20,,,,,,,1.58,,,,,267.0,100.0
20,4.0,2015,,,65.0,,,,,,,,19.7,,,,,,,1.58,,,,,,100.0
21,4.0,2013,,85096.0,65.0,1858.0,,47.6,,40.8,,770938.0,19.7,9.2,,,81.0,,177.0,1.58,255.0,29066.0,3425.0,,247.0,100.0
22,4.0,2011,,,65.0,,,,,,,,36.9,,,,,,,1.58,,,,,,99.68
23,4.0,2014,,83321.0,,,,,,,,,,,,,,,,,,,,,233.0,
24,5.0,2012,,,,866.0,,,70.5,,28.0,193958.0,,,,42.2,,,,,,,,56.0,,
25,5.0,2018,,19825.0,36.0,,,,,,,,21.5,,,,,,,,,,,,124.0,
26,5.0,2017,56.0,,36.0,,1.85,,,,,,21.5,,25.13,,,26.0,,0.0,,,,,,0.0
27,5.0,2016,,19421.0,37.0,,,,,,,,22.1,,,,,,,0.0,,,,,124.0,0.0
28,5.0,2015,,,37.0,,,,,,,,22.1,,,,,,,0.0,,,,,,0.0
29,5.0,2013,,17391.0,43.0,822.0,,36.1,,23.4,,188945.0,25.7,7.4,,,53.0,,68.0,0.0,60.0,6296.0,1399.0,,113.0,0.0
30,5.0,2011,,,37.0,,,,,,,,19.7,,,,,,,0.0,,,,,,0.0
31,5.0,2014,,18243.0,,,,,,,,,,,,,,,,,,,,,100.0,
32,6.0,2012,,,,1011.0,,,176.3,,108.3,747787.0,,,,43.7,,,,,,,,63.7,,
33,6.0,2018,,70849.0,100.0,,,,,,,,24.8,,,,,,,,,,,,118.0,
34,6.0,2017,57.0,,101.0,,4.4,,,,,,25.1,,25.08,,,17.0,,,,,,,,
35,6.0,2016,,77854.0,101.0,,,,,,,,25,,,,,,,,,,,,131.0,
36,6.0,2015,,,101.0,,,,,,,,25,,,,,,,,,,,,,
37,6.0,2013,,71345.0,101.0,1020.0,,31.5,,29.6,,735700.0,25,7.5,,,51.0,,203.0,,259.0,18674.0,4802.0,,127.0,
38,6.0,2011,,,103.0,,,,,,,,22.1,,,,,,,,,,,,,
39,6.0,2014,,70955.0,,,,,,,,,,,,,,,,,,,,,107.0,
40,7.0,2012,,,,3164.0,,,305.4,,214.2,1224325.0,,,,55.7,,,,,,,,64.3,,
41,7.0,2018,,102171.0,146.0,,,,,,,,26.7,,,,,,,,,,,,301.0,
42,7.0,2017,98.0,,147.0,,5.91,,,,,,26.8,,28.06,,,24.0,,1.1,,,,,,100.0
43,7.0,2016,,113057.0,147.0,,,,,,,,26.8,,,,,,,1.1,,,,,333.0,100.0
44,7.0,2015,,,145.0,,,,,,,,26.5,,,,,,,1.1,,,,,,100.0
45,7.0,2013,,106196.0,145.0,3161.0,,50.9,,42.8,,1239208.0,26.5,9.6,,,113.0,,216.0,1.12,318.0,47784.0,4066.0,,314.0,100.0
46,7.0,2011,,,143.0,,,,,,,,25.5,,,,,,,1.1,,,,,,98.74
47,7.0,2014,,106423.0,,,,,,,,,,,,,,,,,,,,,312.0,
48,8.0,2012,,,,908.0,,,356.6,,138.5,676448.0,,,,59.8,,,,,,,,67.4,,
49,8.0,2018,,56631.0,89.0,,,,,,,,14.9,,,,,,,,,,,,124.0,
50,8.0,2017,89.0,,87.0,,5.45,,,,,,14.6,,27.99,,,24.0,,3.0,,,,,,100.0
51,8.0,2016,,57573.0,87.0,,,,,,,,14.6,,,,,,,2.42,,,,,132.0,80.67
52,8.0,2015,,,87.0,,,,,,,,14.6,,,,,,,2.28,,,,,,76.19
53,8.0,2013,,55367.0,86.0,884.0,,60.2,,46.4,,673448.0,14.4,8.1,,,50.0,,271.0,2.89,307.0,29717.0,3623.0,,131.0,63.37
54,8.0,2011,,,87.0,,,,,,,,26.1,,,,,,,1.71,,,,,,37.42
55,8.0,2014,,54456.0,,,,,,,,,,,,,,,,,,,,,124.0,
56,9.0,2012,,,,935.0,,,55.7,,41.1,275932.0,,,,59.5,,,,,,,,67.7,,
57,9.0,2018,,28352.0,21.0,,,,,,,,22.4,,,,,,,,,,,,104.0,
58,9.0,2017,85.0,,20.0,,0.91,,,,,,21.4,,12.03,,,31.0,,,,,,,,
59,9.0,2016,,26987.0,19.0,,,,,,,,20.3,,,,,,,,,,,,99.0,
60,9.0,2015,,,17.0,,,,,,,,18.2,,,,,,,,,,,,,
61,9.0,2013,,24627.0,17.0,836.0,,39.7,,34.6,,243968.0,18.2,5.9,,,40.0,,106.0,,100.0,8640.0,1588.0,,94.0,
62,9.0,2011,,,17.0,,,,,,,,14.6,,,,,,,,,,,,,
63,9.0,2014,,24950.0,,,,,,,,,,,,,,,,,,,,,88.0,
64,10.0,2012,,,,909.0,,,269.6,,194.8,1452800.0,,,,48.9,,,,,,,,63.5,,
65,10.0,2018,,124871.0,125.0,,,,,,,,22.7,,,,,,,,,,,,101.0,
66,10.0,2017,80.0,,125.0,,4.01,,,,,,22.7,,14.36,,,15.0,,,,,,,,
67,10.0,2016,,131736.0,123.0,,,,,,,,22.3,,,,,,,,,,,,106.0,
68,10.0,2015,,,122.0,,,,,,,,22.1,,,,,,,,,,,,,
69,10.0,2013,,126367.0,121.0,836.0,,38.2,,29.3,,1346805.0,21.9,7.9,,,45.0,,539.0,,595.0,39423.0,11120.0,,106.0,
70,10.0,2011,,,123.0,,,,,,,,18.2,,,,,,,,,,,,,
71,10.0,2014,,127824.0,,,,,,,,,,,,,,,,,,,,,99.0,
72,11.0,2012,,,,1033.0,,,285.7,,184.8,1320351.0,,,,56.0,,,,,,,,67.4,,
73,11.0,2018,,138325.0,145.0,,,,,,,,28.4,,,,,,,,,,,,174.0,
74,11.0,2017,94.0,,143.0,,10.51,,,,,,28,,51.83,,,16.0,,4.6,,,,,,100.0
75,11.0,2016,,144419.0,141.0,,,,,,,,27.6,,,,,,,4.6,,,,,181.0,100.0
76,11.0,2015,,,139.0,,,,,,,,27.2,,,,,,,3.56,,,,,,77.47
77,11.0,2013,,124595.0,142.0,1003.0,,73.2,,57.2,,1284389.0,27.8,7.3,,,49.0,,559.0,4.69,579.0,44286.0,5546.0,,165.0,100.0
78,11.0,2011,,,131.0,,,,,,,,22.3,,,,,,,3.49,,,,,,74.37
79,11.0,2014,,134433.0,,,,,,,,,,,,,,,,,,,,,168.0,
80,12.0,2012,,,,914.0,,,66.6,,62.1,1231399.0,,,,41.9,,,,,,,,47.0,,
