,NPA,year,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,park_proximate_units,low_birthweight,pharmacy_proximate_units,pharmacy_proximity,public_health_insurance,age_of_death,low_cost_healthcare_proximate_units,low_cost_healthcare_proximity,park_proximity
0,2,2018,,349.0,,32.0,576.0,,431.0,40.0,,,205.0,19.0,53.0
1,2,2017,,353.0,,32.0,574.0,,9.0,1.0,15.0,,231.0,21.0,53.0
2,2,2016,6.7,205.0,60.0,19.0,576.0,10.0,18.0,2.0,,70.0,230.0,21.0,53.0
3,2,2015,,205.0,,19.0,575.0,,206.0,19.0,18.0,,,,53.0
4,2,2014,1.4,204.0,75.7,19.0,,21.6,,,13.0,68.0,,,
5,2,2011,,223.0,,21.0,,,218.0,20.0,,,,,
6,2,2013,,,,,575.0,,219.0,20.0,,,,,53.0
7,2,2012,0.0,,84.6,,,9.2,,,,70.0,,,
8,3,2018,,4611.0,,78.0,5373.0,,5598.0,94.0,,,2936.0,50.0,91.0
9,3,2017,,3349.0,,78.0,4741.0,,4848.0,92.0,6.0,,3976.0,75.0,90.0
10,3,2016,3.0,3113.0,80.2,66.0,4524.0,6.9,4320.0,91.0,,70.0,4011.0,85.0,96.0
11,3,2015,,3118.0,,66.0,4547.0,,4330.0,91.0,4.0,,,,96.0
12,3,2014,3.5,2565.0,83.0,54.0,,8.7,,,8.0,70.0,,,
13,3,2011,,2540.0,,57.0,,,4245.0,95.0,,,,,
14,3,2013,,,,,4467.0,,4513.0,95.0,,,,,94.0
15,3,2012,4.4,,92.3,,,7.2,,,,70.0,,,
16,4,2018,,67.0,,16.0,6.0,,82.0,20.0,,,7.0,2.0,1.0
17,4,2017,,52.0,,16.0,6.0,,0.0,0.0,1.0,,11.0,3.0,1.0
18,4,2016,0.0,52.0,70.6,13.0,6.0,5.9,60.0,15.0,,76.0,93.0,23.0,1.0
19,4,2015,,52.0,,13.0,6.0,,58.0,14.0,1.0,,,,1.0
20,4,2014,7.1,52.0,85.7,13.0,,14.3,,,1.0,80.0,,,
21,4,2011,,85.0,,21.0,,,60.0,15.0,,,,,
22,4,2013,,,,,6.0,,60.0,15.0,,,,,1.0
23,4,2012,0.0,,100.0,,,0.0,,,,80.0,,,
24,5,2018,,24.0,,8.0,310.0,,163.0,51.0,,,140.0,44.0,97.0
25,5,2017,,31.0,,8.0,311.0,,159.0,49.0,43.0,,128.0,40.0,97.0
26,5,2016,12.5,43.0,50.0,13.0,302.0,16.7,170.0,52.0,,65.0,93.0,29.0,93.0
27,5,2015,,45.0,,14.0,307.0,,172.0,52.0,53.0,,,,93.0
28,5,2014,13.0,45.0,52.2,14.0,,17.4,,,38.0,65.0,,,
29,5,2011,,116.0,,35.0,,,31.0,9.0,,,,,
30,5,2013,,,,,306.0,,170.0,52.0,,,,,93.0
31,5,2012,3.8,,69.2,,,3.8,,,,55.0,,,
32,6,2018,,411.0,,51.0,542.0,,684.0,85.0,,,507.0,63.0,67.0
33,6,2017,,544.0,,51.0,527.0,,679.0,83.0,38.0,,525.0,65.0,65.0
34,6,2016,5.3,548.0,49.1,67.0,534.0,7.0,701.0,86.0,,66.0,528.0,65.0,65.0
35,6,2015,,547.0,,67.0,533.0,,701.0,86.0,48.0,,,,65.0
36,6,2014,8.9,550.0,55.4,67.0,,25.0,,,35.0,60.0,,,
37,6,2011,,671.0,,81.0,,,714.0,87.0,,,,,
38,6,2013,,,,,536.0,,749.0,91.0,,,,,65.0
39,6,2012,10.3,,62.1,,,10.3,,,,65.0,,,
40,7,2018,,183.0,,42.0,367.0,,138.0,32.0,,,115.0,27.0,85.0
41,7,2017,,202.0,,42.0,367.0,,159.0,37.0,,,117.0,27.0,85.0
42,7,2016,0.0,200.0,63.6,47.0,362.0,18.2,157.0,37.0,,79.0,171.0,40.0,85.0
43,7,2015,,199.0,,47.0,360.0,,156.0,37.0,,,,,85.0
44,7,2014,0.0,198.0,91.7,47.0,,0.0,,,,81.0,,,
45,7,2011,,180.0,,43.0,,,155.0,37.0,,,,,
46,7,2013,,,,,357.0,,155.0,37.0,,,,,84.0
47,7,2012,0.0,,100.0,,,10.0,,,,75.0,,,
48,8,2018,,151.0,,14.0,916.0,,335.0,31.0,,,287.0,27.0,85.0
49,8,2017,,135.0,,14.0,694.0,,5.0,0.0,13.0,,298.0,29.0,67.0
50,8,2016,0.0,135.0,80.0,13.0,701.0,5.0,327.0,32.0,,84.0,298.0,29.0,68.0
51,8,2015,,135.0,,13.0,695.0,,331.0,32.0,9.0,,,,67.0
52,8,2014,0.0,127.0,90.7,12.0,,4.7,,,20.0,85.0,,,
53,8,2011,,108.0,,12.0,,,217.0,24.0,,,,,
54,8,2013,,,,,697.0,,331.0,32.0,,,,,68.0
55,8,2012,0.0,,93.0,,,4.7,,,,80.0,,,
56,9,2018,,282.0,,93.0,304.0,,304.0,100.0,,,304.0,100.0,100.0
57,9,2017,,249.0,,93.0,294.0,,294.0,100.0,11.0,,291.0,99.0,100.0
58,9,2016,0.0,246.0,77.8,81.0,305.0,5.6,304.0,100.0,,62.0,301.0,99.0,100.0
59,9,2015,,243.0,,80.0,302.0,,301.0,100.0,10.0,,,,100.0
60,9,2014,0.0,246.0,87.0,81.0,,17.4,,,7.0,74.0,,,
61,9,2011,,299.0,,98.0,,,304.0,100.0,,,,,
62,9,2013,,,,,305.0,,304.0,100.0,,,,,100.0
63,9,2012,5.3,,84.2,,,10.5,,,,80.0,,,
64,10,2018,,1036.0,,65.0,1581.0,,1364.0,85.0,,,945.0,59.0,99.0
65,10,2017,,1245.0,,65.0,1579.0,,1358.0,86.0,29.0,,984.0,62.0,100.0
66,10,2016,1.8,1246.0,60.2,78.0,1585.0,12.4,1365.0,86.0,,69.0,986.0,62.0,100.0
67,10,2015,,1245.0,,78.0,1585.0,,1269.0,80.0,29.0,,,,100.0
68,10,2014,3.6,1245.0,71.2,78.0,,14.4,,,29.0,67.0,,,
69,10,2011,,1096.0,,69.0,,,1273.0,80.0,,,,,
70,10,2013,,,,,1588.0,,1270.0,80.0,,,,,100.0
71,10,2012,10.6,,73.1,,,14.4,,,,71.0,,,
72,11,2018,,745.0,,59.0,1253.0,,578.0,46.0,,,379.0,30.0,100.0
73,11,2017,,772.0,,59.0,1231.0,,378.0,31.0,1.0,,375.0,30.0,100.0
74,11,2016,0.0,767.0,82.2,63.0,1225.0,7.8,571.0,47.0,,77.0,374.0,31.0,100.0
75,11,2015,,675.0,,55.0,1225.0,,567.0,46.0,1.0,,,,100.0
76,11,2014,0.0,675.0,85.4,56.0,,10.1,,,1.0,83.0,,,
77,11,2011,,689.0,,57.0,,,710.0,59.0,,,,,
78,11,2013,,,,,1212.0,,723.0,60.0,,,,,100.0
79,11,2012,0.0,,100.0,,,10.5,,,,77.0,,,
80,12,2018,,0.0,,0.0,738.0,,1169.0,93.0,,,1169.0,93.0,59.0
81,12,2017,,0.0,,0.0,738.0,,1257.0,100.0,31.0,,1169.0,93.0,59.0
