,NPA,year,housing_size,housing_units,residential_demolition_permit_units,residential_occupancy,new_residential_permit_units,rental_houses_units,foreclosures,residential_renovation_permit_units,residential_demolitions,residential_occupancy_moe,home_ownership_moe,rental_costs_moe,residential_renovation,single_family_housing,new_residential,housing_violations_total,subsidized_housing_units,rental_houses,housing_density,single_family_units,housing_age,foreclosed_units,rental_costs,subsidized_housing,home_ownership,housing_violations,home_sales_price
0,2,2018,1524.0,1083.0,6.0,,4,130.0,,19,11.79,,,,4.63,47.0,0.97,1.0,,26.0,2.6,509.0,70.0,,,,,0.09,
1,2,2017,1501.0,1079.0,1.0,93.0,5,138.0,0.2,23,1.98,5.0,6.0,,5.6,47.0,1.22,,80.0,27.0,2.6,504.0,70.0,1.0,894.0,7.0,33.0,,
2,2,2016,1491.0,1079.0,2.0,,4,145.0,0.3,29,3.96,,,,7.06,47.0,0.97,12.0,,29.0,2.6,505.0,69.0,2.0,,,,1.11,
3,2,2015,1473.0,1079.0,1.0,,1,126.0,1.1,30,1.98,,,,7.3,47.0,0.24,10.0,,25.0,2.6,505.0,68.0,7.0,,,,0.93,217562.0
4,2,2013,1449.0,1081.0,0.0,,0,134.0,0.9,16,0.0,,,,3.89,47.0,0.0,13.0,80.0,26.0,2.6,507.0,66.0,6.0,,7.0,,1.2,180860.0
5,2,2011,1446.0,1083.0,0.0,,0,,1.1,11,0.0,,,,2.67,47.0,0.0,7.0,,,2.6,509.0,64.0,7.0,,,,0.65,
6,2,2014,,,,,2,,,19,,,,,4.62,,0.49,,,,,,,,,,,,
7,2,2012,,,,,0,,,11,,,,,2.67,,0.0,,,,,,,,,,,,
8,3,2018,2267.0,5931.0,78.0,,801,343.0,,125,44.34,,,,10.81,30.0,69.3,16.0,,20.0,5.1,1759.0,69.0,,,,,0.27,
9,3,2017,2261.0,5283.0,25.0,88.0,186,373.0,0.0,103,14.51,2.0,4.0,,8.91,33.0,16.09,,421.0,22.0,4.6,1723.0,70.0,0.0,1286.0,8.0,50.0,,
10,3,2016,2177.0,4730.0,28.0,,422,413.0,0.2,143,15.63,,,,12.37,38.0,36.51,16.0,,23.0,4.1,1792.0,69.0,6.0,,,,0.34,
11,3,2015,2145.0,4752.0,24.0,,385,344.0,0.1,124,13.39,,,,10.73,38.0,33.3,8.0,,19.0,4.1,1792.0,69.0,4.0,,,,0.17,467716.0
12,3,2013,2088.0,4746.0,15.0,,39,450.0,0.5,113,8.35,,,,9.78,38.0,3.37,20.0,472.0,25.0,4.1,1796.0,69.0,17.0,,10.0,,0.42,391928.0
13,3,2011,2033.0,4369.0,3.0,,20,,0.7,77,1.65,,,,6.66,42.0,1.73,55.0,,,3.8,1822.0,68.0,24.0,,,,1.26,
14,3,2014,,,,,749,,,118,,,,,10.21,,64.79,,,,,,,,,,,,
15,3,2012,,,,,185,,,88,,,,,7.61,,16.0,,,,,,,,,,,,
16,4,2018,3814.0,419.0,7.0,,3,39.0,,20,18.67,,,,6.07,90.0,0.91,0.0,,10.0,1.3,375.0,44.0,,,,,0.0,
17,4,2017,3820.0,408.0,3.0,98.0,4,35.0,0.0,31,8.24,4.0,2.0,,9.42,89.0,1.21,,0.0,10.0,1.2,364.0,44.0,0.0,,0.0,97.0,,
18,4,2016,3768.0,406.0,5.0,,4,34.0,0.0,43,13.81,,,,13.06,89.0,1.21,0.0,,9.0,1.2,362.0,44.0,0.0,,,,0.0,
19,4,2015,3728.0,404.0,2.0,,6,34.0,0.2,23,5.56,,,,6.99,89.0,1.82,0.0,,9.0,1.2,360.0,44.0,1.0,,,,0.0,810017.0
20,4,2013,3722.0,402.0,1.0,,1,34.0,0.0,19,2.79,,,,5.77,89.0,0.3,0.0,0.0,10.0,1.2,358.0,42.0,0.0,,0.0,,0.0,845392.0
21,4,2011,3660.0,401.0,2.0,,4,,0.3,27,5.6,,,,8.2,89.0,1.22,1.0,,,1.2,357.0,40.0,1.0,,,,0.25,
22,4,2014,,,,,5,,,24,,,,,7.29,,1.52,,,,,,,,,,,,
23,4,2012,,,,,0,,,15,,,,,4.56,,0.0,,,,,,,,,,,,
24,5,2018,1056.0,318.0,0.0,,0,121.0,,4,0.0,,,,2.39,58.0,0.0,11.0,,66.0,1.9,183.0,59.0,,,,,3.46,
25,5,2017,1057.0,322.0,2.0,90.0,0,131.0,0.0,0,10.7,9.0,7.0,25.0,0.0,58.0,0.0,,0.0,70.0,1.9,187.0,58.0,0.0,631.0,0.0,11.0,,
26,5,2016,1056.0,326.0,6.0,,0,135.0,1.1,1,31.41,,,,0.6,59.0,0.0,41.0,,71.0,2.0,191.0,57.0,2.0,,,,12.58,
27,5,2015,1053.0,331.0,5.0,,0,122.0,2.2,4,25.51,,,,2.39,59.0,0.0,66.0,,62.0,2.0,196.0,56.0,4.0,,,,19.94,
28,5,2013,1061.0,329.0,0.0,,0,128.0,0.6,1,0.0,,,,0.6,59.0,0.0,31.0,0.0,66.0,2.0,194.0,56.0,1.0,,0.0,,9.42,45200.0
29,5,2011,1041.0,332.0,0.0,,1,,6.0,2,0.0,,,,1.2,59.0,0.6,26.0,,,2.0,197.0,55.0,11.0,,,,7.83,
30,5,2014,,,,,0,,,3,,,,,1.79,,0.0,,,,,,,,,,,,
31,5,2012,,,,,0,,,4,,,,,2.39,,0.0,,,,,,,,,,,,
32,6,2018,1084.0,808.0,1.0,,0,441.0,,6,1.48,,,,1.49,83.0,0.0,17.0,,65.0,2.0,674.0,70.0,,,,,2.1,
33,6,2017,1081.0,813.0,4.0,80.0,5,443.0,0.0,15,5.89,8.0,9.0,,3.72,84.0,1.24,,0.0,65.0,2.0,679.0,69.0,0.0,834.0,0.0,26.0,,
34,6,2016,1078.0,816.0,3.0,,1,446.0,1.2,17,4.4,,,,4.22,84.0,0.25,54.0,,65.0,2.0,682.0,68.0,7.0,,,,6.62,
35,6,2015,1081.0,817.0,2.0,,0,385.0,1.0,18,2.93,,,,4.46,84.0,0.0,54.0,,56.0,2.0,683.0,67.0,6.0,,,,6.61,41056.0
36,6,2013,1079.0,820.0,3.0,,0,423.0,1.5,11,4.37,,,,2.73,84.0,0.0,54.0,0.0,62.0,2.0,686.0,65.0,9.0,,0.0,,6.59,55545.0
37,6,2011,1073.0,825.0,2.0,,0,,1.2,6,2.89,,,,1.49,84.0,0.0,35.0,,,2.1,691.0,63.0,7.0,,,,4.24,
38,6,2014,,,,,0,,,19,,,,,4.71,,0.0,,,,,,,,,,,,
39,6,2012,,,,,0,,,9,,,,,2.23,,0.0,,,,,,,,,,,,
40,7,2018,5197.0,432.0,8.0,,6,22.0,,37,18.52,,,,6.75,100.0,1.1,1.0,,5.0,0.8,432.0,37.0,,,,,0.23,
41,7,2017,5215.0,430.0,1.0,89.0,4,26.0,0.0,31,2.33,3.0,0.0,,5.66,100.0,0.73,,0.0,6.0,0.8,430.0,36.0,0.0,,0.0,100.0,,
42,7,2016,5211.0,427.0,4.0,,4,25.0,0.0,36,9.37,,,,6.57,100.0,0.73,0.0,,6.0,0.8,427.0,36.0,0.0,,,,0.0,
43,7,2015,5157.0,426.0,2.0,,2,26.0,0.0,32,4.69,,,,5.84,100.0,0.36,0.0,,6.0,0.8,426.0,36.0,0.0,,,,0.0,1656526.0
44,7,2013,5157.0,423.0,1.0,,2,27.0,0.2,33,2.36,,,,6.02,100.0,0.36,0.0,0.0,6.0,0.8,423.0,34.0,1.0,,0.0,,0.0,1509529.0
45,7,2011,5105.0,420.0,2.0,,4,,0.0,19,4.76,,,,3.47,100.0,0.73,0.0,,,0.8,420.0,33.0,0.0,,,,0.0,
46,7,2014,,,,,4,,,49,,,,,8.94,,0.73,,,,,,,,,,,,
47,7,2012,,,,,2,,,39,,,,,7.12,,0.36,,,,,,,,,,,,
48,8,2018,1917.0,1080.0,0.0,,0,69.0,,20,0.0,,,,3.35,40.0,0.0,1.0,,16.0,1.8,437.0,54.0,,,,,0.09,
49,8,2017,1910.0,1029.0,2.0,100.0,32,71.0,0.0,22,4.61,0.0,12.0,264.0,3.69,42.0,5.36,,0.0,16.0,1.7,434.0,53.0,0.0,1257.0,0.0,59.0,,
50,8,2016,1901.0,1036.0,4.0,,0,78.0,0.1,17,9.07,,,,2.85,43.0,0.0,0.0,,18.0,1.7,441.0,52.0,1.0,,,,0.0,
51,8,2015,1873.0,1030.0,0.0,,3,76.0,0.0,12,0.0,,,,2.01,42.0,0.5,2.0,,17.0,1.7,435.0,52.0,0.0,,,,0.19,233714.0
52,8,2013,1870.0,1024.0,0.0,,3,84.0,0.4,43,0.0,,,,7.21,43.0,0.5,1.0,163.0,19.0,1.7,437.0,50.0,3.0,,16.0,,0.1,229197.0
53,8,2011,1838.0,901.0,0.0,,5,,0.4,8,0.0,,,,1.34,48.0,0.84,1.0,,,1.5,429.0,49.0,3.0,,,,0.11,
54,8,2014,,,,,6,,,14,,,,,2.35,,1.01,,,,,,,,,,,,
55,8,2012,,,,,5,,,9,,,,,1.51,,0.84,,,,,,,,,,,,
56,9,2018,1532.0,304.0,8.0,,11,73.0,,18,29.41,,,,19.24,89.0,11.76,0.0,,27.0,3.3,272.0,58.0,,,,,0.0,
57,9,2017,1417.0,294.0,7.0,84.0,13,88.0,0.0,13,25.36,14.0,16.0,620.0,13.89,94.0,13.89,,0.0,32.0,3.1,276.0,61.0,0.0,1203.0,0.0,51.0,,
58,9,2016,1341.0,305.0,4.0,,12,96.0,1.1,15,14.65,,,,16.03,90.0,12.83,2.0,,35.0,3.2,273.0,62.0,3.0,,,,0.66,
59,9,2015,1254.0,302.0,2.0,,11,95.0,1.2,15,7.41,,,,16.03,89.0,11.7,2.0,,35.0,3.2,270.0,64.0,3.0,,,,0.66,260211.0
60,9,2013,1213.0,305.0,0.0,,2,108.0,0.4,7,0.0,,,,7.48,90.0,2.13,3.0,0.0,40.0,3.3,273.0,63.0,1.0,,0.0,,0.98,245591.0
61,9,2011,1198.0,305.0,0.0,,0,,1.2,6,0.0,,,,6.41,90.0,0.0,4.0,,,3.3,273.0,61.0,3.0,,,,1.31,
62,9,2014,,,,,8,,,16,,,,,17.1,,8.51,,,,,,,,,,,,
63,9,2012,,,,,2,,,8,,,,,8.55,,2.13,,,,,,,,,,,,
64,10,2018,1119.0,1597.0,12.0,,9,550.0,,37,10.01,,,,6.71,75.0,1.63,29.0,,46.0,2.9,1199.0,64.0,,,,,1.82,
65,10,2017,1100.0,1586.0,6.0,89.0,13,577.0,0.0,64,5.05,4.0,7.0,,11.61,75.0,2.36,,0.0,49.0,2.9,1188.0,63.0,0.0,761.0,0.0,38.0,,
66,10,2016,1085.0,1592.0,8.0,,10,570.0,0.4,58,6.7,,,,10.52,75.0,1.81,47.0,,48.0,2.9,1194.0,63.0,4.0,,,,2.95,
67,10,2015,1077.0,1592.0,0.0,,3,484.0,0.6,53,0.0,,,,9.61,75.0,0.54,58.0,,41.0,2.9,1194.0,62.0,6.0,,,,3.64,141766.0
68,10,2013,1068.0,1595.0,3.0,,0,601.0,0.8,32,2.51,,,,5.8,75.0,0.0,83.0,0.0,50.0,2.9,1196.0,60.0,9.0,,0.0,,5.2,107523.0
69,10,2011,1068.0,1599.0,0.0,,1,,1.4,15,0.0,,,,2.72,75.0,0.18,54.0,,,2.9,1201.0,58.0,15.0,,,,3.38,
70,10,2014,,,,,8,,,38,,,,,6.89,,1.45,,,,,,,,,,,,
