,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
0,Character,,,,
1,r1_2015,Area,Land Area (Acres),Land area is calculated by the U.S. Census Bureau for census block groups and aggregated to Neighborhood Profile Areas (NPAs). NPAs are comprised of between one and eight Census block groups.,"U.S. Census Bureau TIGER, 2015"
2,r1_2013,Area,Land Area (Acres),Land area is calculated by the U.S. Census Bureau for census block groups and aggregated to Neighborhood Profile Areas (NPAs). NPAs are comprised of between one and eight Census block groups.,"U.S. Census Bureau TIGER, 2010"
3,m47_2018,Population_Density_2018,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2018 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010
4,r47_2018,Population _2018,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2018 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities
5,m47_2017,Population_Density_2017,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2017 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010
6,r47_2017,Population _2017,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2017 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities
7,m47_2016,Population_Density_2016,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2016 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010
8,r47_2016,Population _2016,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2016 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities
9,m47_2015,Population_Density_2015,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2015 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010
10,r47_2015,Population _2015,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2015 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities
11,m47_2013,Population_Density_2013,Number of people per acre,Total population estimate divided by land area,Mecklenburg County Tax Parcels 2012 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities; U.S. Census Bureau TIGER 2010
12,r47_2013,Population _2013,Total Population Estimate,Total population estimate: Number of Housing Units x Occupancy Rate x Average Household Size + Population in Group Quarters.,Mecklenburg County Tax Parcels 2012 (housing units); U.S. Census Bureau 2010 Census (average household size and group quarters); U.S. Postal Service (Vacancy Rate); area colleges and universities
13,m47_2010,Population_Density_2010,Number of people per acre,Total population divided by land area,"U.S. Census Bureau 2010 Census; Mecklenburg CountyTax Parcels, 2011"
14,r47_2010,Population_2010,Total Population,Total population,U.S. Census Bureau 2010 Census
15,m47_2000,Population_Density_2000,Number of people per acre,Total population divided by land area,"U.S. Census Bureau 2000 Census; Mecklenburg CountyTax Parcels, 2011"
