,NPA,year,violent_crimes,violent_crime_rate,animal_control_calls,animal_control_call_rate,fire_calls,property_crimes,nuisance_violations_total,property_crime_rate,disorder_calls,nuisance_violations,fire_call_rate,disorder_call_rate
0,2,2018,15.0,6.7,81.0,36.1,86.0,99.0,,44.1,444.0,,38.3,198.0
1,2,2017,11.0,4.9,95.0,42.4,106.0,141.0,,62.9,425.0,,47.3,189.7
2,2,2016,11.0,4.9,81.0,36.2,105.0,105.0,58.0,46.9,449.0,5.4,46.9,200.5
3,2,2015,10.0,4.5,78.0,36.2,85.0,69.0,149.0,31.1,436.0,13.8,38.4,196.8
4,2,2013,15.0,6.9,95.0,43.8,76.0,71.0,63.0,32.8,528.0,5.8,35.1,243.7
5,2,2011,19.0,9.3,119.0,58.4,,245.0,,120.16,,,,
6,3,2018,38.0,3.9,214.0,21.9,705.0,678.0,,69.5,1606.0,,72.3,164.6
7,3,2017,37.0,4.2,261.0,29.6,720.0,654.0,,74.2,1494.0,,81.7,169.5
8,3,2016,33.0,4.1,209.0,26.2,615.0,658.0,64.0,82.4,1655.0,1.4,77.0,207.2
9,3,2015,17.0,2.1,233.0,26.2,514.0,485.0,269.0,61.1,1454.0,5.7,64.8,183.2
10,3,2013,17.0,2.2,261.0,33.4,474.0,465.0,190.0,59.5,1324.0,4.0,60.7,169.5
11,3,2011,13.0,2.0,241.0,36.7,,508.0,,77.4,,,,
12,4,2018,0.0,0.0,20.0,17.9,35.0,14.0,,12.5,44.0,,31.3,39.3
13,4,2017,0.0,0.0,25.0,23.0,65.0,14.0,,12.9,34.0,,59.7,31.2
14,4,2016,0.0,0.0,8.0,7.4,52.0,10.0,7.0,9.3,56.0,1.7,48.2,51.9
15,4,2015,1.0,0.9,22.0,7.4,48.0,21.0,2.0,19.5,50.0,0.5,44.5,46.4
16,4,2013,0.0,0.0,22.0,20.7,33.0,10.0,9.0,9.4,42.0,2.2,31.0,39.4
17,4,2011,0.0,0.0,32.0,31.9,,13.0,,12.97,,,,
18,5,2018,9.0,11.7,43.0,55.7,20.0,35.0,,45.3,144.0,,25.9,186.5
19,5,2017,13.0,16.5,57.0,72.2,34.0,34.0,,43.0,199.0,,43.0,251.9
20,5,2016,16.0,20.3,81.0,102.5,28.0,27.0,91.0,34.2,227.0,27.9,35.4,287.3
21,5,2015,14.0,18.8,74.0,102.5,31.0,50.0,100.0,67.1,237.0,30.2,41.6,318.1
22,5,2013,19.0,24.9,87.0,114.0,35.0,39.0,58.0,51.1,251.0,17.6,45.9,329.0
23,5,2011,13.0,21.6,103.0,170.8,,44.0,,72.97,,,,
24,6,2018,51.0,27.7,211.0,114.7,106.0,188.0,,102.2,1101.0,,57.6,598.7
25,6,2017,71.0,38.0,227.0,121.3,112.0,147.0,,78.6,964.0,,59.9,515.2
26,6,2016,53.0,28.6,257.0,138.7,84.0,187.0,217.0,100.9,1188.0,26.6,45.3,641.1
27,6,2015,42.0,24.4,220.0,138.7,111.0,174.0,326.0,100.9,979.0,39.9,64.4,567.9
28,6,2013,55.0,31.0,280.0,157.8,88.0,167.0,268.0,94.1,857.0,32.7,49.6,482.8
29,6,2011,45.0,27.5,294.0,179.5,,151.0,,92.19,,,,
30,7,2018,1.0,0.8,32.0,24.1,152.0,34.0,,25.6,123.0,,114.3,92.5
31,7,2017,5.0,3.8,24.0,18.1,156.0,48.0,,36.2,151.0,,117.7,114.0
32,7,2016,2.0,1.5,19.0,14.5,106.0,25.0,22.0,19.1,138.0,5.2,81.0,105.5
33,7,2015,0.0,0.0,35.0,14.5,91.0,29.0,16.0,22.1,133.0,3.8,69.5,101.5
34,7,2013,0.0,0.0,30.0,23.2,57.0,27.0,10.0,20.9,108.0,2.4,44.1,83.5
35,7,2011,0.0,0.0,44.0,36.9,,38.0,,31.85,,,,
36,8,2018,3.0,1.6,58.0,30.1,37.0,41.0,,21.3,150.0,,19.2,77.9
37,8,2017,2.0,1.1,74.0,40.1,49.0,62.0,,33.6,186.0,,26.5,100.8
38,8,2016,2.0,1.1,52.0,28.0,50.0,49.0,41.0,26.4,172.0,4.0,26.9,92.6
39,8,2015,1.0,0.5,63.0,28.0,70.0,31.0,129.0,16.8,166.0,12.5,37.8,89.7
40,8,2013,2.0,1.3,99.0,65.4,78.0,29.0,45.0,19.1,144.0,4.4,51.5,95.1
41,8,2011,1.0,0.6,75.0,42.6,,33.0,,18.74,,,,
42,9,2018,1.0,1.6,16.0,25.7,33.0,30.0,,48.2,78.0,,53.1,125.4
43,9,2017,2.0,3.3,21.0,34.9,43.0,26.0,,43.2,85.0,,71.4,141.2
44,9,2016,2.0,3.2,29.0,46.8,26.0,31.0,46.0,50.0,75.0,15.1,41.9,121.0
45,9,2015,2.0,3.3,22.0,46.8,27.0,23.0,44.0,37.9,87.0,14.6,44.5,143.3
