,NPA,year,transit_proximate_units,transit_ridership,transit_ridership_total,sidewalk_availability,sidewalk_miles,street_connectivity,long_commute,long_commute_moe,bicycle_friendliness,transit_proximity
0,2,2017,1079.0,,,,,1.2,39.0,12.0,1.5,100.0
1,2,2018,1083.0,,,,,1.2,,,1.5,100.0
2,2,2016,1079.0,,,,,1.2,,,1.5,100.0
3,2,2015,1079.0,35.0,879.0,74.3,7.3,1.2,,,1.5,100.0
4,2,2013,1081.0,54.0,1348.0,,,1.15,,,1.5,100.0
5,2,2011,1082.0,,,,,1.17,,,1.6,100.0
6,2,2014,,43.0,1068.0,,,,,,,
7,3,2017,5283.0,,,,,1.48,32.0,5.0,2.1,100.0
8,3,2018,5931.0,,,,,1.48,,,2.1,100.0
9,3,2016,4730.0,,,,,1.48,,,2.2,100.0
10,3,2015,4752.0,34.0,2346.0,83.6,31.5,1.5,,,2.1,100.0
11,3,2013,4746.0,33.0,2697.0,,,1.55,,,2.3,100.0
12,3,2011,4468.0,,,,,1.55,,,2.2,100.0
13,3,2014,,35.0,2438.0,,,,,,,
14,4,2017,378.0,,,,,1.17,57.0,14.0,1.7,92.65
15,4,2018,361.0,,,,,1.17,,,1.7,86.16
16,4,2016,377.0,,,,,1.17,,,1.8,92.86
17,4,2015,381.0,8.0,59.0,32.8,2.3,1.17,,,1.7,94.31
18,4,2013,402.0,5.0,53.0,,,1.17,,,1.7,100.0
19,4,2011,401.0,,,,,1.17,,,1.6,100.0
20,4,2014,,9.0,60.0,,,,,,,
21,5,2017,322.0,,,,,1.16,27.0,18.0,1.6,100.0
22,5,2018,318.0,,,,,1.16,,,1.6,100.0
23,5,2016,326.0,,,,,1.16,,,1.6,100.0
24,5,2015,331.0,17.0,66.0,38.6,1.8,1.16,,,1.6,100.0
25,5,2013,329.0,17.0,67.0,,,1.19,,,1.7,100.0
26,5,2011,332.0,,,,,1.19,,,1.5,100.0
27,5,2014,,15.0,60.0,,,,,,,
28,6,2017,814.0,,,,,1.28,49.0,14.0,1.7,100.0
29,6,2018,808.0,,,,,1.28,,,1.7,100.0
30,6,2016,816.0,,,,,1.28,,,1.8,100.0
31,6,2015,817.0,74.0,1258.0,41.2,5.4,1.3,,,1.8,100.0
32,6,2013,820.0,86.0,1375.0,,,1.3,,,1.8,100.0
33,6,2011,825.0,,,,,1.3,,,1.7,100.0
34,6,2014,,77.0,1312.0,,,,,,,
35,7,2017,304.0,,,,,1.19,35.0,12.0,1.5,70.53
36,7,2018,187.0,,,,,1.19,,,1.5,43.29
37,7,2016,302.0,,,,,1.19,,,1.5,70.73
38,7,2015,314.0,30.0,178.0,53.2,6.5,1.19,,,1.5,73.71
39,7,2013,376.0,58.0,405.0,,,1.19,,,1.5,88.89
40,7,2011,375.0,,,,,1.19,,,1.5,89.29
41,7,2014,,31.0,220.0,,,,,,,
42,8,2017,1029.0,,,,,1.13,40.0,12.0,1.3,100.0
43,8,2018,1080.0,,,,,1.13,,,1.3,100.0
44,8,2016,1036.0,,,,,1.13,,,1.3,100.0
45,8,2015,1015.0,9.0,209.0,57.3,6.3,1.16,,,1.3,98.54
46,8,2013,1024.0,9.0,193.0,,,1.17,,,1.3,100.0
47,8,2011,901.0,,,,,1.17,,,1.3,100.0
48,8,2014,,11.0,242.0,,,,,,,
49,9,2017,294.0,,,,,1.38,37.0,14.0,1.7,100.0
50,9,2018,304.0,,,,,1.38,,,1.7,100.0
51,9,2016,305.0,,,,,1.38,,,1.7,100.0
52,9,2015,302.0,25.0,197.0,45.0,1.8,1.38,,,1.7,100.0
53,9,2013,305.0,31.0,251.0,,,1.38,,,1.7,100.0
54,9,2011,305.0,,,,,1.39,,,1.7,100.0
55,9,2014,,29.0,232.0,,,,,,,
56,10,2017,1586.0,,,,,1.36,59.0,8.0,1.7,100.0
57,10,2018,1527.0,,,,,1.36,,,1.7,95.62
58,10,2016,1592.0,,,,,1.35,,,1.7,100.0
59,10,2015,1592.0,42.0,1528.0,65.0,11.0,1.35,,,1.6,100.0
60,10,2013,1595.0,42.0,1453.0,,,1.35,,,1.6,100.0
61,10,2011,1599.0,,,,,1.35,,,1.6,100.0
62,10,2014,,42.0,1498.0,,,,,,,
63,11,2017,1231.0,,,,,1.2,41.0,9.0,1.7,100.0
64,11,2018,1253.0,,,,,1.2,,,1.7,100.0
65,11,2016,1225.0,,,,,1.2,,,1.7,100.0
66,11,2015,1225.0,67.0,734.0,63.0,7.5,1.2,,,1.7,100.0
67,11,2013,1212.0,65.0,843.0,,,1.25,,,1.8,100.0
68,11,2011,1209.0,,,,,1.26,,,1.8,100.0
69,11,2014,,76.0,839.0,,,,,,,
70,12,2017,1257.0,,,,,1.05,47.0,8.0,1.4,100.0
71,12,2018,1257.0,,,,,1.05,,,1.4,100.0
72,12,2016,1257.0,,,,,1.05,,,1.3,100.0
73,12,2015,1257.0,95.0,668.0,34.5,0.9,1.05,,,1.4,100.0
74,12,2013,1257.0,123.0,860.0,,,1.08,,,1.4,100.0
75,12,2011,1257.0,,,,,1.08,,,1.4,100.0
76,12,2014,,116.0,814.0,,,,,,,
77,13,2017,1831.0,,,,,1.24,49.0,7.0,1.6,100.0
78,13,2018,1832.0,,,,,1.24,,,1.6,100.0
79,13,2016,1830.0,,,,,1.24,,,1.6,100.0
80,13,2015,1827.0,13.0,249.0,46.5,5.0,1.24,,,1.6,100.0
81,13,2013,1810.0,21.0,406.0,,,1.24,,,1.6,100.0
82,13,2011,1812.0,,,,,1.24,,,1.6,100.0
83,13,2014,,17.0,319.0,,,,,,,
84,14,2017,1196.0,,,,,1.09,59.0,8.0,1.3,74.24
85,14,2018,1197.0,,,,,1.09,,,1.3,74.3
86,14,2016,1198.0,,,,,1.08,,,1.3,74.27
87,14,2015,1198.0,132.0,528.0,48.4,5.7,1.1,,,1.3,74.23
88,14,2013,1198.0,142.0,568.0,,,1.1,,,1.4,74.23
89,14,2011,1199.0,,,,,1.1,,,1.4,74.33
90,14,2014,,147.0,586.0,,,,,,,
91,15,2017,0.0,,,,,1.18,59.0,13.0,1.6,0.0
92,15,2018,0.0,,,,,1.18,,,1.6,0.0
93,15,2016,0.0,,,,,1.18,,,1.6,0.0
94,15,2015,0.0,,,25.7,3.4,1.17,,,1.5,0.0
95,15,2013,0.0,,,,,1.18,,,1.6,0.0
96,15,2011,0.0,,,,,1.19,,,1.6,0.0
97,15,2014,,,,,,,,,,
98,16,2017,1968.0,,,,,1.19,52.0,6.0,1.4,93.14
99,16,2018,1967.0,,,,,1.18,,,1.4,93.13
100,16,2016,2062.0,,,,,1.2,,,1.5,97.54
101,16,2015,2062.0,33.0,462.0,40.3,7.3,1.2,,,1.5,97.63
102,16,2013,2080.0,38.0,600.0,,,1.2,,,1.4,98.48
103,16,2011,2087.0,,,,,1.2,,,1.4,98.49
104,16,2014,,36.0,543.0,,,,,,,
105,17,2017,1253.0,,,,,1.18,64.0,9.0,1.4,100.0
106,17,2018,1250.0,,,,,1.18,,,1.4,100.0
107,17,2016,1253.0,,,,,1.18,,,1.4,100.0
108,17,2015,1256.0,62.0,1426.0,42.9,5.5,1.18,,,1.4,100.0
109,17,2013,1256.0,66.0,1511.0,,,1.19,,,1.4,100.0
110,17,2011,1256.0,,,,,1.18,,,1.4,100.0
111,17,2014,,64.0,1473.0,,,,,,,
112,18,2017,1666.0,,,,,1.16,46.0,17.0,1.6,100.0
113,18,2018,1684.0,,,,,1.16,,,1.6,100.0
114,18,2016,1693.0,,,,,1.16,,,1.6,100.0
115,18,2015,1695.0,87.0,958.0,48.2,7.6,1.17,,,1.6,100.0
