,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
0,2,2020,Alenky Signature Homes LLC,R-4,R-8,NC,no,NO,0.39799999999999996,CMUD,CMUD,YES,Wedge,,Travis Johnson,,,2020/02/18 15:12:46+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2019,Mark Heisig,O-2,R-4,NC,no,NO,0.33,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 11:14:14+00,2019/12/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2014,"Eastway II Holdings, LLC",BD(CD),BD(CD),CD,SPA,NO,3.05,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/07/28 00:00:00+00,2014/10/20 00:00:00+00,App,1.4,204.0,75.7,19.0,21.6,13.0,68.0,,112.0,48.96,75.0,39.473684210526315,45.83333333333333,63.63636363636363,11.5,603.0,2.0,54.0,,,,43.0,,
3,2,2014,"Eastway II Holdings, LLC",B-1SCD,BD(CD),CD,no,NO,3.74,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/07/28 00:00:00+00,2014/10/20 00:00:00+00,App,1.4,204.0,75.7,19.0,21.6,13.0,68.0,,112.0,48.96,75.0,39.473684210526315,45.83333333333333,63.63636363636363,11.5,603.0,2.0,54.0,,,,43.0,,
4,2,2016,"Dr. Michael Berglass, DDS",UR-C(CD),UR-C(CD),CD,SPA,NO,0.44,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2015/12/23 00:00:00+00,2016/06/20 00:00:00+00,App,6.7,205.0,60.0,19.0,10.0,,70.0,22.2,113.0,46.1,86.0,37.5,28.2,55.6,15.0,1063.0,,76.0,4.3,5.0,2240.0,,1.2,1.5
5,3,2015,"1700 South, LLC",B-1,TOD-M,NC,no,NO,0.26,CMUD,CMUD,YES,Corridor,Central,Main_Kent,Goodwin_Alan,Fortune_Solomon,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
6,3,2019,The Charlotte-Mecklenburg Hospital Authority,B-1,MUDD-O,CD,no,NO,70.53,CMUD,CMUD,YES,Corridor,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/07/17 10:11:25+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
7,3,2017,ABW Charlotte,TOD-M,TOD-M(O),CD,no,NO,0.529,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/09/22 00:00:00+00,2018/01/26 00:00:00+00,App,,3349.0,,78.0,,6.0,,38.6,,82.0,95.0,86.1,82.3,68.2,5.0,1736.0,,25.0,2.4,8.0,8816.0,,1.48,2.1
8,3,2016,"Rockwell Capital, LLC",B-2,UR-3(CD),CD,no,NO,2.71,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/10/26 00:00:00+00,2016/04/18 00:00:00+00,App,3.0,3113.0,80.2,66.0,6.9,,70.0,37.9,176.0,79.6,100.0,87.31,85.0,62.5,6.0,5386.0,,76.0,2.4,7.0,7986.0,,1.48,2.2
9,3,2015,Meeting Street Homes & Communities,R-22MF,MUDD(CD),CD,no,NO,0.419,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,,2014/11/21 00:00:00+00,2015/06/22 00:00:00+00,App,,3118.0,,66.0,,4.0,,37.3,,76.84,100.0,84.2105263157895,79.52,65.0,5.72139303482587,1354.0,7.0,24.0,2.5,7.0,7938.0,34.0,1.5,2.1
10,3,2014,Golden Triangle #2,MUDD-O,MUDD-O,CD,SPA,NO,1.3,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,2014/01/27 00:00:00+00,2014/05/19 00:00:00+00,App,3.5,2565.0,83.0,54.0,8.7,8.0,70.0,,161.0,74.94,91.0,86.36363636363636,77.94117647058823,66.66666666666666,5.673758865248227,2787.0,7.0,53.0,,,,35.0,,
