OBJECTID,Petition,Petitioner,FromZone,ToZone,Type,SPA,Overlay,INNOV,Acres,PetAcres,Water,Sewer,CityLimit,ZoningMap,ODZ,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Consistent,ProtestPet,Received,Approved,Decision,Hyperlink,Corrective,Propluse,AdminAppr,AdminApprD,AdminApprP,AdminApprC,SFLOTS,THUNITS,CONDOS,APT,TOTUNITS,OFFICE,RETAIL,HOTELRMS,PARKING,OPENSP,ACRESITE,SHAPESTArea,SHAPESTLength,centroid
565704,2008-069,Charlotte Douglas Airport,I-2(CD),I-2,NC,no,,,,,,,,,,Center,Southwest,Alberto Gonzalez,Alan Goodwin,Tammy Keplinger,YES,,2008/02/04 00:00:00+00,2008/07/21 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,6048340.293395996,17135.428779790862,"{'lng': -80.9473629555874, 'lat': 35.1922619634032}"
565705,2014-004,Charlotte-Mecklenburg Planning Department,I-2,TOD-M,NC,no,none,NO,2.4,2.4,CMUD,CMUD,YES,89,,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Sanders_Sonja,,,2013/10/28 00:00:00+00,2014/02/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-004.aspx,,TOD-M,,,,,,,,,,,,,,,,116570.81134033203,1386.9589318981737,"{'lng': -80.79401695812554, 'lat': 35.25197931401998}"
565706,2008-052,"Novant Health, Inc.",R-3,B-1(CD),CD,no,,,81.75,81.75,CMUD,CMUD,NO,97,283,Wedge,East,McCullough_Melony,Dhindaw_Jaya,Drake_Tom,YES,,2008/01/28 00:00:00+00,2008/05/19 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,807900.9842529297,5226.629742864213,"{'lng': -80.64636364121559, 'lat': 35.22259419954761}"
565707,2014-049,"SBBH, LLC",CC,MUDD-O,CD,no,none,NO,1.53,1.53,CMUD,CMUD,YES,135,,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,,NO,2014/03/24 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-049.aspx,,,,,,,,,,,,,,,,,,57819.326171875,1024.5206199133518,"{'lng': -80.82910095839671, 'lat': 35.15347976732894}"
565708,1992-069,,"B-1, O-1",B-2(CD),,no,,,,,,,,,,,,,,,,,,1993/01/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,412814.2698364258,3377.2466558191263,"{'lng': -80.83262067298986, 'lat': 35.148145043563844}"
565709,2008-059,"Crescent Resources, LLC",RE-1,CC,CD,no,,,170.0,170.0,CMUD,CMUD,YES,"71,58",264,Corridor,Northeast-Transit,Cornett_Kathy,Dhindaw_Jaya,Keplinger_Tammie,YES,,2008/01/28 00:00:00+00,2008/05/19 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,1020943.6918945312,4349.194314504429,"{'lng': -80.75826672252302, 'lat': 35.299518808599835}"
565710,1991-002(C),,R-12,I-1(CD),,no,,,,,,,,,,,,,,,,,,1991/04/01 00:00:00+00,App,,,,,,,,,,,,,,,,,,,446473.8035888672,3022.378477006984,"{'lng': -80.9369186008391, 'lat': 35.19424225200988}"
565711,2007-054,Westport Homes of N.C.,BP(CD),R-8MF(CD),CD,no,,,30.9,30.9,CMUD,CMUD,YES,"127,133",163,Wedge,Southwest,Main_Kent,Vincent_Kourtnie,Fortune_Solomon,WD,,2007/01/22 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,1448927.7742919922,6298.689515182516,"{'lng': -80.90748729731256, 'lat': 35.16418987390808}"
565712,1988-031,,"R-9, R-15, 1-1(CD)",BP,,no,,,,,,,,,,,,,,,,,,1988/05/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,2521052.0923461914,9035.692547925499,"{'lng': -80.91820180955577, 'lat': 35.190572226769575}"
565713,1988-069,,I-2,I-1,,no,,,,,,,,,,,,,,,,,,1988/10/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,341167.74938964844,3614.35695980868,"{'lng': -80.91418296562821, 'lat': 35.2299598534726}"
